"Text";"Id"
"Wapres Soroti Maraknya Calo Tiket Konser Coldplay https://t.co/JTQ8Kd53n2";"1660960158347071490"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959991153721344"
"Konser Dewa 19 di Istora?
Argentina maen di Indonesa?
Coldplay di Indonesia?
Nabung Niwak??";"1660959914880290816"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660959841731616774"
"RT @urwolfcount: Rekomendasi Baju Outfit Crop Top Lucu bisa di pake buat ke konser nya coldplay ?";"1660959824199254019"
"RT @idx_channel: Total kerugian 60 korban penipuan jastip tiket konser Coldplay  tembus Rp183 juta 
https://t.co/ttJc2VwkLE";"1660959819690569729"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959794017206273"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959790552711168"
"RT @golkarpedia: Dyah Roro Esti Puji Rencana Konser Coldplay Usung Konsep Ramah Lingkungan
#airlanggahartarto #airlanggapemersatu #airlangg…";"1660959625410379776"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959622851891201"
"hi hii...
yang mau tiketnya dibantu jualin atau dicariin bisa dm yaa boleh tiket konser coldplay atau agustd

syarat' harus sesuai standartku biar bisa dipastiin legit no scam scam 

wts wtb coldplay agustd cat";"1660959579520524288"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959427690921986"
"RT @Obay_Kusut1981: Tentang Coldplay bukan masalah konser dan individunya LGBT, dibeberapa konser selalu Kampanyekan LGBT dan itu yg membua…";"1660959295960420353"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660959106835025920"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660959049876398081"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660959039646490625"
"Total kerugian 60 korban penipuan jastip tiket konser Coldplay  tembus Rp183 juta 
https://t.co/ttJc2VwkLE";"1660959011649523713"
"@eboniwatch Pengen nonton konsernya Coldplay lahhh ???
Tpi ga bisa nonton soalnya ribet ngurusin sesuatu dan lebih penting ?
Kayanya jdi tim nonton keseruannya aja dri konten konser Coldplay yg di-share temen² ? sambil greges ???

#NontonKonserPakeEboni";"1660958927700508672"
"RT @nabhan_r_p: MENANGGAPI BERITA TENTANG TIKET NONTON KONSER COLDPLAY YANG MENURUT KEMENKES BUTUH BOOSTER TERLEBIH DAHULU

PENGUMUMAN BAGI…";"1660958726751387649"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958590524608512"
"RT @AGENDA21_EXPOSE: Keren!!
Malaysia Tolak Konser Coldplay
https://t.co/LpaZGhrsea
@_Banyoe @StopPlandemit @TedInvestigasi @AriesTruss @AX…";"1660958564146634753"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958556714307592"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660958491983613952"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958419443134464"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958285175091202"
