,text_clean,text_preprocessed
0,awalnya korban penipuan tiket konser coldplay hanya  orang kemudian bertambah menjadi  orang dengan nilai kerugian yang awalnya rp juta skrng menjadi rp juta,"['korban', 'tipu', 'tiket', 'konser', 'coldplay', 'orang', 'tambah', 'orang', 'nilai', 'rugi', 'rp', 'juta', 'skrng', 'rp', 'juta']"
1,pasangan suami istri pelaku penipuan tiket konser coldplay ditangkap ditreskrimsus polda metro jaya di yogjakarta kerugian atas penipuan tersebut mencapai  juta rupiah senin  eds,"['pasang', 'suami', 'istri', 'laku', 'tipu', 'tiket', 'konser', 'coldplay', 'tangkap', 'ditreskrimsus', 'polda', 'metro', 'jaya', 'yogjakarta', 'rugi', 'tipu', 'capai', 'juta', 'rupiah', 'senin', 'eds']"
2,thread  polisi menerima  laporan dari korban penipuan jastip pembelian tiket konser coldplay kini polisi telah menangkap pelaku penipuan di bantul yogyakarta,"['thread', 'polisi', 'terima', 'lapor', 'korban', 'tipu', 'jastip', 'beli', 'tiket', 'konser', 'coldplay', 'polisi', 'tangkap', 'laku', 'tipu', 'bantul', 'yogyakarta']"
3,gsp awalnya korban penipuan tiket konser coldplay hanya  orang kemudian bertambah menjadi  orang dengan nilai kerugian,"['gsp', 'korban', 'tipu', 'tiket', 'konser', 'coldplay', 'orang', 'tambah', 'orang', 'nilai', 'rugi']"
4,subdit siber dit reskrimum polda metro jaya menangkap dua orang tersangka kasus penipuan tiket konser coldplay ,"['subdit', 'siber', 'dit', 'reskrimum', 'polda', 'metro', 'jaya', 'tangkap', 'orang', 'sangka', 'tipu', 'tiket', 'konser', 'coldplay']"
5,expose keren malaysia tolak konser coldplay  banyoe    ,"['expose', 'keren', 'malaysia', 'tolak', 'konser', 'coldplay', 'banyoe']"
6,penipuan tiket konser coldplay an gilang purnama dan tania widya agustina  kronologi  aku  temen temen ikut war tiket co,"['tipu', 'tiket', 'konser', 'coldplay', 'an', 'gilang', 'purnama', 'tania', 'widya', 'agustina', 'kronologi', 'temen', 'temen', 'war', 'tiket', 'co']"
7,konser coldplay bisa jadi katalis target ekonomi turisme rp t,"['konser', 'coldplay', 'katalis', 'target', 'ekonomi', 'turisme', 'rp', 't']"
8,aku masih open joki pinjolnya ya kecuali ketiduranyuk yg pusing mikirin tagihan pinjolnya sini aku bisikin solusinya biar utang pinjol kamu lunasfast resp klik link d bio,"['open', 'joki', 'pinjolnya', 'ya', 'kecuali', 'ketiduranyuk', 'yg', 'pusing', 'mikirin', 'tagih', 'pinjolnya', 'bisikin', 'solusi', 'biar', 'utang', 'pinjol', 'lunasfast', 'resp', 'klik', 'link', 'd', 'bio']"
9,tegas berbeda dengan mahfud md soal lgbt ini pandangan cholil nafis mui pusat jelang konser coldplay ,"['beda', 'mahfud', 'md', 'lgbt', 'pandang', 'cholil', 'naf', 'mui', 'pusat', 'jelang', 'konser', 'coldplay']"
10,orang yang kena tipu tiket coldplay kok pada gampang bgt ya ditipu asal gue jual tiket konser dengan bener selalu cod ga minta dp yang penting ga hit n run pas diajak codan eh malah dikerjain mulu guenya hahahaha,"['orang', 'kena', 'tipu', 'tiket', 'coldplay', 'gampang', 'bgt', 'ya', 'tipu', 'gue', 'jual', 'tiket', 'konser', 'bener', 'cod', 'ga', 'dp', 'ga', 'hit', 'n', 'run', 'pas', 'ajak', 'codan', 'eh', 'dikerjain', 'mulu', 'gue', 'hahahaha']"
11,gerakan olahraga yang bisa dilakukan sebelum nonton konser coldplay  ada yang mau nambahin reply yak hihihihihihi  ,"['gera', 'olahraga', 'nonton', 'konser', 'coldplay', 'nambahin', 'reply', 'yak', 'hihihihihihi']"
12,tujuh orang korban dugaan penipuan penjualan daring tiket konser coldplay di jakarta diperiksa penyidik bareskrim polri  caritau di sini,"['tujuh', 'orang', 'korban', 'duga', 'tipu', 'jual', 'daring', 'tiket', 'konser', 'coldplay', 'jakarta', 'periksa', 'sidik', 'bareskrim', 'polri', 'caritau']"
13,wapres soroti maraknya calo tiket konser coldplay,"['wapres', 'sorot', 'marak', 'calo', 'tiket', 'konser', 'coldplay']"
14,konser dewa  di istora argentina maen di indonesa coldplay di indonesia nabung niwak,"['konser', 'dewa', 'istora', 'argentina', 'maen', 'indonesa', 'coldplay', 'indonesia', 'nabung', 'niwak']"
15,rekomendasi baju outfit crop top lucu bisa di pake buat ke konser nya coldplay,"['rekomendasi', 'baju', 'outfit', 'crop', 'top', 'lucu', 'pake', 'konser', 'nya', 'coldplay']"
16,channel total kerugian  korban penipuan jastip tiket konser coldplay  tembus rp juta,"['channel', 'total', 'rugi', 'korban', 'tipu', 'jastip', 'tiket', 'konser', 'coldplay', 'tembus', 'rp', 'juta']"
17,dyah roro esti puji rencana konser coldplay usung konsep ramah lingkungan   ,"['dyah', 'roro', 'esti', 'puji', 'rencana', 'konser', 'coldplay', 'usung', 'konsep', 'ramah', 'lingkung']"
18,hi hii yang mau tiketnya dibantu jualin atau dicariin bisa dm yaa boleh tiket konser coldplay atau agustd  syarat harus sesuai standartku biar bisa dipastiin legit no scam scam   wts wtb coldplay agustd cat,"['hi', 'hii', 'tiket', 'bantu', 'jualin', 'dicariin', 'dm', 'yaa', 'tiket', 'konser', 'coldplay', 'agustd', 'syarat', 'sesuai', 'standartku', 'biar', 'dipastiin', 'legit', 'no', 'scam', 'scam', 'wts', 'wtb', 'coldplay', 'agustd', 'cat']"
19,kusut tentang coldplay bukan masalah konser dan individunya lgbt dibeberapa konser selalu kampanyekan lgbt dan itu yg membua,"['kusut', 'coldplay', 'konser', 'individu', 'lgbt', 'beberapa', 'konser', 'kampanye', 'lgbt', 'yg', 'bua']"
20,total kerugian  korban penipuan jastip tiket konser coldplay  tembus rp juta,"['total', 'rugi', 'korban', 'tipu', 'jastip', 'tiket', 'konser', 'coldplay', 'tembus', 'rp', 'juta']"
21,pengen nonton konsernya coldplay lahhh  tpi ga bisa nonton soalnya ribet ngurusin sesuatu dan lebih penting  kayanya jdi tim nonton keseruannya aja dri konten konser coldplay yg dishare temen²  sambil greges,"['ken', 'nonton', 'konser', 'coldplay', 'lahhh', 'tpi', 'ga', 'nonton', 'ribet', 'ngurusin', 'kaya', 'jdi', 'tim', 'nonton', 'seru', 'aja', 'dri', 'konten', 'konser', 'coldplay', 'yg', 'dishare', 'temen', 'greges']"
22,rp menanggapi berita tentang tiket nonton konser coldplay yang menurut kemenkes butuh booster terlebih dahulu  pengumuman bagi,"['rp', 'tanggap', 'berita', 'tiket', 'nonton', 'konser', 'coldplay', 'kemenkes', 'butuh', 'booster', 'umum']"
23,pasangan suami istri ditangkap karena melakukan penipuan penjualan tiket konser coldplay  modus tersangka yaitu membeli,"['pasang', 'suami', 'istri', 'tangkap', 'tipu', 'jual', 'tiket', 'konser', 'coldplay', 'modus', 'sangka', 'beli']"
24,menteri pariwisata dan ekonomi kreatif sandiaga uno buka suara terkait kritik majelis ulama indonesia mui terhadap kedatang,"['menteri', 'pariwisata', 'ekonomi', 'kreatif', 'sandiaga', 'uno', 'buka', 'suara', 'kait', 'kritik', 'majelis', 'ulama', 'indonesia', 'mui', 'datang']"
25,polemik pa  tolak konser coldplay makin panas mahfud md lgbt itu kodrat,"['polemik', 'pa', 'tolak', 'konser', 'coldplay', 'panas', 'mahfud', 'md', 'lgbt', 'kodrat']"
26,nanggung klo smpe konser coldplay mah mendingan sampe kiamat di gbk,"['nanggung', 'klo', 'smpe', 'konser', 'coldplay', 'mah', 'mending', 'sampe', 'kiamat', 'gbk']"
27,keinginan buat nonton konser coldplay lagi setelah nonton film dokumenter a head full of dreams   stream di,"['nonton', 'konser', 'coldplay', 'nonton', 'film', 'dokumenter', 'a', 'head', 'full', 'of', 'dreams', 'stream']"
28,pencabulan sesama genk tdk ada uangnya klo konser coldplay panitia tinggal suwon semua beres,"['cabul', 'genk', 'tdk', 'uang', 'klo', 'konser', 'coldplay', 'panitia', 'tinggal', 'suwon', 'beres']"
29,polda metro jaya menangkap dua orang penipu bermodus jasa titip jastip pembelian tiket konser band coldplay   ,"['polda', 'metro', 'jaya', 'tangkap', 'orang', 'tipu', 'modus', 'jasa', 'titip', 'jastip', 'beli', 'tiket', 'konser', 'band', 'coldplay']"
30,scammer tiket konser suga agust d coldplay   hati sama yang mau beli tiket konser sama scammer satu ini   nama fi,"['scammer', 'tiket', 'konser', 'suga', 'agust', 'd', 'coldplay', 'hati', 'beli', 'tiket', 'konser', 'scammer', 'nama', 'fi']"
31,mahfud md sarankan anak muda nonton konser coldplay meski kena ancam novel bamukmin pa  ndak usah takut   ,"['mahfud', 'md', 'saran', 'anak', 'muda', 'nonton', 'konser', 'coldplay', 'kena', 'ancam', 'novel', 'bamukmin', 'pa', 'ndak', 'takut']"
32,tentang konser coldplay dan bagaimana hubungannya dengan kondisi kelas pekerja  tulisan ini bukan untuk mel,"['konser', 'coldplay', 'hubung', 'kondisi', 'kelas', 'kerja', 'tulis', 'mel']"
33,nah yg gini ini ccin ke akun nya novel bamukmin aja gih musuhnya nyata nih didepan mata drpda dia dan orang dia ngerecoki konser coldplay ky nya seru pasukan novel bamukmin vs pasukan pelangi,"['yg', 'gin', 'ccin', 'akun', 'nya', 'novel', 'bamukmin', 'aja', 'gih', 'musuh', 'nyata', 'nih', 'depan', 'mata', 'drpda', 'orang', 'ngerecoki', 'konser', 'coldplay', 'ky', 'nya', 'seru', 'pasu', 'novel', 'bamukmin', 'vs', 'pasu', 'pelangi']"
34,kalau yg udah announcement pastinya coldplay karna venuenya di gbk  venue konser impian banget gbk tuh,"['yg', 'udah', 'announcement', 'pasti', 'coldplay', 'karna', 'venuenya', 'gbk', 'venue', 'konser', 'impi', 'banget', 'gbk', 'tuh']"
35,yang udah nunggu justin dari lama kedua konser coldplay aku emang bukan fans berat coldplay tapi udah nunggu mereka dari lama banget sebelum akhirnya viral di tiktok dan jadi kefomoan semua,"['udah', 'nunggu', 'justin', 'konser', 'coldplay', 'emang', 'fans', 'berat', 'coldplay', 'udah', 'nunggu', 'banget', 'viral', 'tiktok', 'kefomoan']"
36,promo tiket bus konser coldplay indonesia di gbk  lagi cari kendaraan buat nonton konser coldplay bareng temen kerabat atau keluarga sewa bus arion aja  lebih hemat karena ada promo spesial sambut coldplay di indonesia,"['promo', 'tiket', 'bus', 'konser', 'coldplay', 'indonesia', 'gbk', 'cari', 'kendara', 'nonton', 'konser', 'coldplay', 'bareng', 'temen', 'kerabat', 'keluarga', 'sewa', 'bus', 'arion', 'aja', 'hemat', 'promo', 'spesial', 'sambut', 'coldplay', 'indonesia']"
37,rakyat banyak yg marah murka sebab gk bisa dapat tiket konser coldplay   takdiirrr  takdiirrrr takdir,"['rakyat', 'yg', 'marah', 'murka', 'gk', 'tiket', 'konser', 'coldplay', 'takdiirrr', 'takdiirrrr', 'takdir']"
38,korban penipuan tiket konser coldplay bertambah jadi  orang kerugian sentuh rp  juta,"['korban', 'tipu', 'tiket', 'konser', 'coldplay', 'tambah', 'orang', 'rugi', 'sentuh', 'rp', 'juta']"
39,pasangan suami istri alias pasutri yang menjadi pelaku penipuan jasa titip tiket konser grup musik coldplay di tanah air telah memperdaya  orang,"['pasang', 'suami', 'istri', 'alias', 'pasutri', 'laku', 'tipu', 'jasa', 'titip', 'tiket', 'konser', 'grup', 'musik', 'coldplay', 'tanah', 'air', 'daya', 'orang']"
40,i nah loh  santri hamil  mui ngga berniat ngomentari qontol panji gumilang pa i mui sibuk dgn konser coldplay dan,"['i', 'loh', 'santri', 'hamil', 'mui', 'ngga', 'niat', 'ngomentari', 'qontol', 'panji', 'gumilang', 'pa', 'i', 'mui', 'sibuk', 'dgn', 'konser', 'coldplay']"
41,padahal udah di himbauin kalo beli tiket konser coldplay tuh melalui website yang resmi kok malah beli ke calo si udah gitu calo nya nipu lagi heran guemah ga habis fikri,"['udah', 'himbauin', 'kalo', 'beli', 'tiket', 'konser', 'coldplay', 'tuh', 'website', 'resmi', 'beli', 'calo', 'si', 'udah', 'gitu', 'calo', 'nya', 'nipu', 'heran', 'guemah', 'ga', 'habis', 'fikri']"
42,wts tiket konser ootd outfit jaket leather untuk konser wtb wtr want to rent s iphone army bomb underprice coldplay no scam,"['wts', 'tiket', 'konser', 'ootd', 'outfit', 'jaket', 'leather', 'konser', 'wtb', 'wtr', 'want', 'to', 'rent', 's', 'iphone', 'army', 'bomb', 'underprice', 'coldplay', 'no', 'scam']"
43,hal ini terlihat dari data presale dan general sale tiket konser coldplay di jakarta,"['data', 'presale', 'general', 'sale', 'tiket', 'konser', 'coldplay', 'jakarta']"
44,euforia konser coldplay di indonesia bagaimana karakter penontonnya,"['euforia', 'konser', 'coldplay', 'indonesia', 'karakter', 'tonton']"
45,perihal penipuan online tiket konser coldplay polri bakal klarifikasi vendor,"['perihal', 'tipu', 'online', 'tiket', 'konser', 'coldplay', 'polri', 'klarifikasi', 'vendor']"
46,wts leather jacket  baru belum pernah dipakai pergi baru dicoba x beli utk konser suga agust d tp ga jadi  size m  bahan  bagusfuring  harga k aja karena tag udah dicopot  minat dm  co orencod icebsd  mei  wtb wtr wts ticket outfit konser bts coldplay,"['wts', 'leather', 'jacket', 'pakai', 'pergi', 'coba', 'x', 'beli', 'utk', 'konser', 'suga', 'agust', 'd', 'tp', 'ga', 'size', 'm', 'bahan', 'bagusfuring', 'harga', 'k', 'aja', 'tag', 'udah', 'copot', 'minat', 'dm', 'co', 'orencod', 'icebsd', 'mei', 'wtb', 'wtr', 'wts', 'ticket', 'outfit', 'konser', 'bts', 'coldplay']"
47,sejak resmi dirilis band coldplay bakal konser di jakarta euforianya tuh kerasa banget apalagi pas presale dan public on,"['resmi', 'rilis', 'band', 'coldplay', 'konser', 'jakarta', 'euforia', 'tuh', 'rasa', 'banget', 'pas', 'presale', 'public', 'on']"
48,penyiksaan ini belum berakhir lagi dan lagi lagii abang messi main tanggal  juni dan pas tanggal itu gw disuruh training   rasanya itu beuhhh  ini lebih rare dari konser coldplay,"['siksa', 'lagi', 'abang', 'messi', 'main', 'tanggal', 'juni', 'pas', 'tanggal', 'gw', 'suruh', 'training', 'beuhhh', 'rare', 'konser', 'coldplay']"
49,tania widya agustina   thn nipu org dgn kedok jual tiket konser coldplay  greesella sophina adhalia  thn sering,"['tania', 'widya', 'agustina', 'thn', 'nipu', 'org', 'dgn', 'kedok', 'jual', 'tiket', 'konser', 'coldplay', 'greesella', 'sophina', 'adhalia', 'thn']"
50,momentum coldplay indonesia konsep konser ramah lingkungan mesti mulai diterapkan di indonesia tidak hanya urus,"['momentum', 'coldplay', 'indonesia', 'konsep', 'konser', 'ramah', 'lingkung', 'mesti', 'terap', 'indonesia', 'urus']"
51,cara menang war tiket coldplay konser musik mahal seharga  juta,"['menang', 'war', 'tiket', 'coldplay', 'konser', 'musik', 'mahal', 'harga', 'juta']"
52,emang gokil abang kita yang satu ini ngasih tiket konser coldplay di daftar maskawinnya  hey jomblo sabar ya bro,"['emang', 'gokil', 'abang', 'ngasih', 'tiket', 'konser', 'coldplay', 'daftar', 'maskawin', 'hey', 'jomblo', 'sabar', 'ya', 'bro']"
53,open jasa war  titip aespa live tour   synk  hyper line in jakarta  slot jastip    data buyer  data seller book slot ktix  tnc tertera di foto    udah pernah secured tiket niki nicole tour  coldplay in jakarta   jastip jaswar konser,"['open', 'jasa', 'war', 'titip', 'aespa', 'live', 'tour', 'synk', 'hyper', 'line', 'in', 'jakarta', 'slot', 'jastip', 'data', 'buyer', 'data', 'seller', 'book', 'slot', 'ktix', 'tnc', 'tera', 'foto', 'udah', 'secured', 'tiket', 'nik', 'nicole', 'tour', 'coldplay', 'in', 'jakarta', 'jastip', 'jaswar', 'konser']"
54,mahar uang gak perlu perlunya tiket konser coldplay,"['mahar', 'uang', 'gak', 'tiket', 'konser', 'coldplay']"
55,wts bantu jualin tiket konser coldplay punya temen ku    ultimate experience  cat   di bantu sampe fisik ya  serious buyer only  price dm aja  jaminan ktp mou dan surat kwitansi ya,"['wts', 'bantu', 'jualin', 'tiket', 'konser', 'coldplay', 'temen', 'ku', 'ultimate', 'experience', 'cat', 'bantu', 'sampe', 'fisik', 'ya', 'serious', 'buyer', 'only', 'price', 'dm', 'aja', 'jamin', 'ktp', 'mou', 'surat', 'kwitansi', 'ya']"
56,tebak brp thread ketipu tiket konser coldplay sampai hari h gweh lebih dari,"['tebak', 'brp', 'thread', 'tipu', 'tiket', 'konser', 'coldplay', 'h', 'gweh']"
57,pengamat musik menyatakan isu penolakan terhadap konser coldplay tidak bisa dianggap hanya angin lalu  tidak menutup kemungk,"['amat', 'musik', 'isu', 'tolak', 'konser', 'coldplay', 'anggap', 'angin', 'tutup', 'kemungk']"
58,panas pa  dan mui tolak coldplay menparekraf sandiaga justru upayakan konser coldplay di indonesia jadi dua hari ,"['panas', 'pa', 'mui', 'tolak', 'coldplay', 'menparekraf', 'sandiaga', 'upaya', 'konser', 'coldplay', 'indonesia']"
59,menparekraf sandiaga uno sudah mengetahui soal pro kontra konser coldplay dia mengaku akan berdiskusi dengan para ulama terkait konser coldplay,"['menparekraf', 'sandiaga', 'uno', 'pro', 'kontra', 'konser', 'coldplay', 'aku', 'diskus', 'ulama', 'kait', 'konser', 'coldplay']"
60,polda metro jaya menangkap pasangan suami istri pasutri abf  dan w  karena diduga telah melakukan penipuan penjualan tiket konser musik grup band coldplay,"['polda', 'metro', 'jaya', 'tangkap', 'pasang', 'suami', 'istri', 'pasutri', 'abf', 'w', 'duga', 'tipu', 'jual', 'tiket', 'konser', 'musik', 'grup', 'band', 'coldplay']"
61,yang enggak dapet tiket coldplay boleh undang kami untuk konser,"['dapet', 'tiket', 'coldplay', 'undang', 'konser']"
62,indonesia vs argentina di jakarta  juni   nonton tiket konser coldplay  nonton indonesia vs argentina,"['indonesia', 'vs', 'argentina', 'jakarta', 'juni', 'nonton', 'tiket', 'konser', 'coldplay', 'nonton', 'indonesia', 'vs', 'argentina']"
63,isu kampanye lgbt di konser coldplay ustaz derry sulaiman kalau berani berarti cari masalah,"['isu', 'kampanye', 'lgbt', 'konser', 'coldplay', 'ustaz', 'derry', 'sulaiman', 'berani', 'cari']"
64,mr   pgn banget tau dr ratusan atau bahkan ribuan konser coldplay yg udh terjadi d seluruh bagian dunia ini coba sebutin negara mana yg kena azab gara menggelar konser coldplay please dong sebutin  aja,"['mr', 'pgn', 'banget', 'tau', 'dr', 'ratus', 'ribu', 'konser', 'coldplay', 'yg', 'udh', 'd', 'dunia', 'coba', 'sebutin', 'negara', 'yg', 'kena', 'azab', 'gara', 'gelar', 'konser', 'coldplay', 'please', 'sebutin', 'aja']"
65,halooo yai  piye iki jangan urusin konser coldplay melulu ini jelas ada kehancuran moral dan akhlak pemuka agama islam didepan mata kok ngga ada suara dan tindakannya,"['halooo', 'yai', 'piye', 'iki', 'urusin', 'konser', 'coldplay', 'melulu', 'hancur', 'moral', 'akhlak', 'muka', 'agama', 'islam', 'depan', 'mata', 'ngga', 'suara', 'tindak']"
66,polri terus menerima sejumlah pengaduan terkait dugaan penipuan penjualan tiket konser coldplay dari masyarakat   ,"['polri', 'terima', 'adu', 'kait', 'duga', 'tipu', 'jual', 'tiket', 'konser', 'coldplay', 'masyarakat']"
67,konser band coldplay dan lgbt  tiket menonton konser coldplay di jakarta terjual habis ini menunjukkan bahwa masyarakat tidak,"['konser', 'band', 'coldplay', 'lgbt', 'tiket', 'tonton', 'konser', 'coldplay', 'jakarta', 'jual', 'habis', 'masyarakat']"
68,tapi konser coldplay di jakarta juga menuai pro kontra guys   mulai dari pencekalan samper seruan boikot di bandara   respons pemerintah gimana,"['konser', 'coldplay', 'jakarta', 'tuai', 'pro', 'kontra', 'guys', 'cekal', 'samper', 'seru', 'boikot', 'bandara', 'respons', 'perintah', 'gimana']"
69,sejak resmi dirilis band coldplay bakal konser di jakarta euforianya tuh kerasa banget apalagi pas presale dan public on sale ticket    mei kemarin   beneran war sama jaringan internet lah sama jastip lah bot mesin lah sampe calo yang bikin emosi,"['resmi', 'rilis', 'band', 'coldplay', 'konser', 'jakarta', 'euforia', 'tuh', 'rasa', 'banget', 'pas', 'presale', 'public', 'on', 'sale', 'ticket', 'mei', 'kemarin', 'beneran', 'war', 'jaring', 'internet', 'jastip', 'bot', 'mesin', 'sampe', 'calo', 'bikin', 'emosi']"
70,penggemar coldplay bisa menginap di hotelhotel di sekitar stasiun matau halte transjakarta harga per malamnya masih terbilang ramah di kantong berikut rekomendasinya,"['gemar', 'coldplay', 'inap', 'hotelhotel', 'stasiun', 'matau', 'halte', 'transjakarta', 'harga', 'malam', 'bilang', 'ramah', 'kantong', 'rekomendasi']"
71,ted drpd uang unt beli tiket konser coldplay mendingan bantu buat inves ikn,"['ted', 'drpd', 'uang', 'unt', 'beli', 'tiket', 'konser', 'coldplay', 'mending', 'bantu', 'inves', 'ikn']"
72,hai para  yang berhasil war   coba absen sayang banget mimin sopa nggak dapet tiket nya huhu tahukah sobat harga tiket itu belum masuk dengan pajak lho kirakira kena  apa aja dan berapa harga setelah terkena pajak part,"['hai', 'hasil', 'war', 'coba', 'absen', 'sayang', 'banget', 'mimin', 'sopa', 'nggak', 'dapet', 'tiket', 'nya', 'huhu', 'tahu', 'sobat', 'harga', 'tiket', 'masuk', 'pajak', 'lho', 'kirakira', 'kena', 'aja', 'harga', 'kena', 'pajak', 'part']"
73,tiket konser coldplay di jakarta ludes terjual bukti masyarakat indonesia tak peduli ancaman pihak yang menolak ,"['tiket', 'konser', 'coldplay', 'jakarta', 'ludes', 'jual', 'bukti', 'masyarakat', 'indonesia', 'peduli', 'ancam', 'tolak']"
74,kakak gue sama pacarnya mau nonton konser coldplay cat  anjeng,"['kakak', 'gue', 'pacar', 'nonton', 'konser', 'coldplay', 'cat', 'anjeng']"
75,polisi ungkap kasus penipuan tiket konser band coldplay,"['polisi', 'tipu', 'tiket', 'konser', 'band', 'coldplay']"
76,ketua umum pkb muhaimin iskandar atau cak imin  berjanji dirinya bakal menggelar konser coldplay secara g,"['ketua', 'pkb', 'muhaimin', 'iskandar', 'cak', 'imin', 'janji', 'gelar', 'konser', 'coldplay', 'g']"
77,polri terus menerima sejumlah pengaduan terkait dugaan penipuan penjualan tiket konser coldplay dari masyarakat,"['polri', 'terima', 'adu', 'kait', 'duga', 'tipu', 'jual', 'tiket', 'konser', 'coldplay', 'masyarakat']"
78,pasutri penipu jastip tiket konser coldplay ditangkap,"['pasutri', 'tipu', 'jastip', 'tiket', 'konser', 'coldplay', 'tangkap']"
79,,[]
80,nusantara,['nusantara']
81,yang setuju boikot konser coldplay like,"['tuju', 'boikot', 'konser', 'coldplay', 'like']"
82,sebenarnya sih solusinya gampang bener coldplay silahkan menggelarkan konser tapi dilarang membawa pesan lgbt disini karena disini itu dilarang,"['sih', 'solusi', 'gampang', 'bener', 'coldplay', 'silah', 'gelar', 'konser', 'larang', 'bawa', 'pesan', 'lgbt', 'larang']"
83,arjantinde coldplay  tane kapal gie konser veriyor  bin kiilik stadyumda d bütün dünyadan en popüler arkclar geliyor türkiyeye kimse gelmiyor arjantin olacaz diyen arkadalar arjantini tanmyor hiç,"['arjantin de', 'coldplay', 'tane', 'kapal', 'gie', 'konser', 'veriyor', 'bin', 'kiilik', 'stadyumda', 'd', 'b t n', 'd nyadan', 'en', 'pop ler', 'arkclar', 'geliyor', 't rkiye ye', 'kimse', 'gelmiyor', 'arjantin', 'olacaz', 'yen', 'arkadalar', 'arjantin i', 'tanmyor', 'hi']"
84,polisi menangkap sepasang suami istri melakukan penipuan tiket konser coldplay,"['polisi', 'tangkap', 'pasang', 'suami', 'istri', 'tipu', 'tiket', 'konser', 'coldplay']"
85,dari pada ngabisin duit buat war coldplay mending nabung buat nonton konser ini,"['ngabisin', 'duit', 'war', 'coldplay', 'mending', 'nabung', 'nonton', 'konser']"
86,viral pengantin pria berikan maskawin tiket konser coldplay saat ijab kabul,"['viral', 'pengantin', 'pria', 'maskawin', 'tiket', 'konser', 'coldplay', 'ijab', 'kabul']"
87,untung pwk maput bukan hiduo di jaman soekarno  mahfud md sarankan anak muda nonton konser coldplay meski kena ancam novel bamukmin pa  ndak usah takut,"['untung', 'pwk', 'maput', 'hiduo', 'jaman', 'soekarno', 'mahfud', 'md', 'saran', 'anak', 'muda', 'nonton', 'konser', 'coldplay', 'kena', 'ancam', 'novel', 'bamukmin', 'pa', 'ndak', 'takut']"
88,tdi ada mbak indomret nanya ktmennya katanya cosplay itu apa trs djwab cosplay itu biduan trs mbak nya blg bukan biduan yg konser itu loh mas nyah kekeh bgt ngjawab iya itu biduan jncoy aku ikutan bingung ini lg ngbhs apaan kukira cosplay anime trnyta lg ngbhas coldplay,"['tdi', 'mbak', 'indomret', 'nanya', 'ktmennya', 'cosplay', 'trs', 'djwab', 'cosplay', 'biduan', 'trs', 'mbak', 'nya', 'blg', 'biduan', 'yg', 'konser', 'loh', 'mas', 'nyah', 'kekeh', 'bgt', 'ngjawab', 'iya', 'biduan', 'jncoy', 'ikut', 'bingung', 'lg', 'ngbhs', 'kira', 'cosplay', 'anime', 'trnyta', 'lg', 'ngbhas', 'coldplay']"
89,nih kek nya kalo svt konser lagi disini tiket coldplay gue lepas dah,"['nih', 'kek', 'nya', 'kalo', 'svt', 'konser', 'tiket', 'coldplay', 'gue', 'lepas', 'dah']"
90,polri menerima lebih dari satu laporan dan pengaduan terkait dugaan penipuan bermodus penjualan tiket konser coldplay,"['polri', 'terima', 'lapor', 'adu', 'kait', 'duga', 'tipu', 'modus', 'jual', 'tiket', 'konser', 'coldplay']"
91,viral pasangan di indonesia ini jadikan tiket konser coldplay mahar pernikahan,"['viral', 'pasang', 'indonesia', 'jadi', 'tiket', 'konser', 'coldplay', 'mahar', 'nikah']"
92,pelaku penipuan tiket konser coldplay ditangkap,"['laku', 'tipu', 'tiket', 'konser', 'coldplay', 'tangkap']"
93,ada konser coldplay motogp mandalika  dikhawatirkan tidak ramai ,"['konser', 'coldplay', 'motogp', 'mandalika', 'khawatir', 'ramai']"
94,jangan sampe deh konser coldplay kejadian begini,"['sampe', 'deh', 'konser', 'coldplay', 'jadi']"
95,pasangan suami istri pasutri berinisial abf dan w ditangkap polisi terkait kasus penipuan tiket konser coldplay keduanya d,"['pasang', 'suami', 'istri', 'pasutri', 'inisial', 'abf', 'w', 'tangkap', 'polisi', 'kait', 'tipu', 'tiket', 'konser', 'coldplay', 'd']"
96,konser bts sibuk konser coldplay sibuk   kau ni apa,"['konser', 'bts', 'sibuk', 'konser', 'coldplay', 'sibuk', 'kau', 'ni']"
97,momentum coldplay indonesia konsep konser ramah lingkungan mesti mulai diterapkan di indonesia tidak hanya urusan ramah lingkungan alam dengan energi konser dari surya tidak rusuh itu bentuk ramah lingkungan sosial tidak mudah tapi perlu dimulai dikembangkan,"['momentum', 'coldplay', 'indonesia', 'konsep', 'konser', 'ramah', 'lingkung', 'mesti', 'terap', 'indonesia', 'urus', 'ramah', 'lingkung', 'alam', 'energi', 'konser', 'surya', 'rusuh', 'bentuk', 'ramah', 'lingkung', 'sosial', 'mudah', 'kembang']"
98,pasangan suami istri pasutri berinisial abf dan w ditangkap polisi terkait kasus penipuan tiket konser coldplay keduanya ditangkap di yogyakarta,"['pasang', 'suami', 'istri', 'pasutri', 'inisial', 'abf', 'w', 'tangkap', 'polisi', 'kait', 'tipu', 'tiket', 'konser', 'coldplay', 'tangkap', 'yogyakarta']"
99,mohon nanti bisa merangkum min sampai hari h konser coldplay kira sudah ada berapa kasus,"['mohon', 'rangkum', 'min', 'h', 'konser', 'coldplay']"
100,maskawin tiket konser coldplay fix you,"['maskawin', 'tiket', 'konser', 'coldplay', 'fix', 'you']"
