,text_clean,text_preprocessed
346,were open for jasa war titip aespa live tour   synk  hyper line in jakarta  limited slots   data buyer  data seller book slot ktix  tnc tertera di foto    udah pernah secured tiket niki nicole tour  coldplay in jakarta   jastip jaswar konser,"['we re', 'open', 'for', 'jasa', 'war', 'titip', 'aespa', 'live', 'tour', 'synk', 'hyper', 'line', 'in', 'jakarta', 'limited', 'slots', 'data', 'buyer', 'data', 'seller', 'book', 'slot', 'ktix', 'tnc', 'tera', 'foto', 'udah', 'secured', 'tiket', 'nik', 'nicole', 'tour', 'coldplay', 'in', 'jakarta', 'jastip', 'jaswar', 'konser']"
347,anggota komisi vii dpr ri dyah roro esti mengapresiasi rencana konser grup musik internasional coldplay di indonesia pada  november  mendatang dengan mengedepankan konsep ramah lingkungan,"['anggota', 'komisi', 'vii', 'dpr', 'ri', 'dyah', 'roro', 'esti', 'apresiasi', 'rencana', 'konser', 'grup', 'musik', 'internasional', 'coldplay', 'indonesia', 'november', 'depan', 'konsep', 'ramah', 'lingkung']"
348,mohon maaf pertandingan antara indonesia dan argentina dengan berat hati kami nyatakan dibatalkan karena arena gelora bung karno sedang dipersiapkan untuk konser coldplay,"['mohon', 'maaf', 'tanding', 'indonesia', 'argentina', 'berat', 'hati', 'nyata', 'batal', 'arena', 'gelora', 'karno', 'siap', 'konser', 'coldplay']"
349,ya kan emang  cuma mau konser doang buk gimana sih,"['ya', 'emang', 'konser', 'doang', 'buk', 'gimana', 'sih']"
350,calo tiket konser bisa dipenjara hingga didenda di taiwan,"['calo', 'tiket', 'konser', 'penjara', 'denda', 'taiwan']"
351,kocak banyak yg ketipu tiket konser coldplay   lah sama kpopers atau korbannya akh sudahlah,"['kocak', 'yg', 'tipu', 'tiket', 'konser', 'coldplay', 'kpopers', 'korban', 'akh']"
352,viral pasangan ini menikah dengan mahar tiket konser coldplay  sindonews lifestyle,"['viral', 'pasang', 'meni', 'mahar', 'tiket', 'konser', 'coldplay', 'sindonews', 'lifestyle']"
353,ayo kita dukung palestina dengan nonton konser coldplaypdippks wajib nonton inikita wajib bantu negara lain anak bangsa sendiri ga osah ben mati dewe lak uwis tinggal kubur walopun mimpi usaha umkm dibangsa sendiri gak jalan gara pildun wu dibatalkanjt kecil,"['ayo', 'dukung', 'palestina', 'nonton', 'konser', 'coldplaypdippks', 'wajib', 'nonton', 'inikita', 'wajib', 'bantu', 'negara', 'anak', 'bangsa', 'ga', 'osah', 'ben', 'mati', 'dewe', 'lak', 'uwis', 'tinggal', 'kubur', 'walopun', 'mimpi', 'usaha', 'umkm', 'bangsa', 'gak', 'jalan', 'gara', 'pildun', 'wu', 'dibatalkanjt']"
354,di setiap pengorbanan pasti ada keberhasilan point yg bisa kita ambil adalah selamat kaka sudah dpt tiket coldplay kapan lagi coba coldplay konser di indo,"['korban', 'hasil', 'point', 'yg', 'ambil', 'selamat', 'kaka', 'dpt', 'tiket', 'coldplay', 'coba', 'coldplay', 'konser', 'indo']"
355,kuli panggul cantik   penikmat konser coldplay kena tipu   saksikan beritanya di apa kabar indonesia siang bersama venna,"['kuli', 'panggul', 'cantik', 'nikmat', 'konser', 'coldplay', 'kena', 'tipu', 'saksi', 'berita', 'kabar', 'indonesia', 'siang', 'venna']"
356,ini masih coldplay yg konser di indo gimana kalo abistu maroon yahh,"['coldplay', 'yg', 'konser', 'indo', 'gimana', 'kalo', 'abistu', 'maroon', 'yahh']"
357,tahukah  seperti konser coldplay yang mengkategorikan zona tiketnya melalui warna simbolisasi pada pe,"['tahu', 'konser', 'coldplay', 'kategori', 'zona', 'tiket', 'warna', 'simbol', 'pe']"
358,natasha wilona kaget temannya dapat  tiket konser coldplay berharap berlangsung tertib dan tidak ada kerusuhan,"['natasha', 'wilona', 'kaget', 'teman', 'tiket', 'konser', 'coldplay', 'harap', 'tertib', 'rusuh']"
359,guysss info dongg kalian yang sekarang kosnya kamar mandi dalem ada wifi dan kulkas ada tv ada dapur ada konser cold,"['guysss', 'info', 'dongg', 'kosnya', 'kamar', 'mandi', 'dalem', 'wifi', 'kulkas', 'tv', 'dapur', 'konser', 'cold']"
360,jadi sponsor konser coldplay di jakarta bca meraup puluhan ribu nasabah baru,"['sponsor', 'konser', 'coldplay', 'jakarta', 'bca', 'raup', 'puluh', 'ribu', 'nasabah']"
361,were open for jasa war aespa live tour   synk  hyper line in jakarta  limited slots   data pribadi book slot ktix fee k tiket   tnc applied    udah pernah secured tiket niki nicole tour  coldplay in jakarta   jastip jaswar konser,"['we re', 'open', 'for', 'jasa', 'war', 'aespa', 'live', 'tour', 'synk', 'hyper', 'line', 'in', 'jakarta', 'limited', 'slots', 'data', 'pribadi', 'book', 'slot', 'ktix', 'fee', 'k', 'tiket', 'tnc', 'applied', 'udah', 'secured', 'tiket', 'nik', 'nicole', 'tour', 'coldplay', 'in', 'jakarta', 'jastip', 'jaswar', 'konser']"
362,nah kalau udah wakil ketua dpr ri yang bilang berarti valid no debat  coldplay harus jadi konser ke indonesia abaikan,"['udah', 'wakil', 'ketua', 'dpr', 'ri', 'bilang', 'valid', 'no', 'debat', 'coldplay', 'konser', 'indonesia', 'abai']"
363,parah korban penipuan tiket konser coldplay bertambah jadi  orang,"['parah', 'korban', 'tipu', 'tiket', 'konser', 'coldplay', 'tambah', 'orang']"
